#MJD	band	Flux	Flux_err	FilterSet	Source
56459.24	sdss_r'	1.7871359254016672e-16	8.24164625792031e-18	Std	P48
56459.24	sdss_r'	1.7871359254016672e-16	8.24164625792031e-18	Std	P48
56459.29	sdss_r'	1.7697850911744667e-16	8.172242921011508e-18	Std	P48
56459.29	sdss_r'	1.7697850911744667e-16	8.172242921011508e-18	Std	P48
56460.24	sdss_r'	4.493866064844969e-16	1.6552695852749422e-17	Std	P48
56460.24	sdss_r'	4.493866064844969e-16	1.6552695852749422e-17	Std	P48
56460.29	sdss_r'	4.754128578252979e-16	1.752434256947266e-17	Std	P48
56460.29	sdss_r'	4.754128578252979e-16	1.752434256947266e-17	Std	P48
56460.38	sdss_i'	2.5785053426605687e-16	4.747483366192694e-18	Std	P60
56460.38	sdss_i'	2.5785053426605687e-16	4.747483366192694e-18	Std	P60
56460.38	sdss_r'	4.979689423206588e-16	9.178591306189146e-18	Std	P60
56460.38	sdss_r'	4.979689423206588e-16	9.178591306189146e-18	Std	P60
56460.38	sdss_g'	7.693355671594031e-16	1.414722626276458e-17	Std	P60
56460.38	sdss_g'	7.693355671594031e-16	1.414722626276458e-17	Std	P60
56460.75	Bessell_B	1.0155353558462389e-15	1.868770540666823e-17	Std	LCOGT
56460.76	Bessell_V	8.101624472036191e-16	1.4935003991674193e-17	Std	LCOGT
56460.83	sdss_g'	9.274767670755027e-16	1.7096345936875627e-17	Std	LCOGT
56460.84	sdss_r'	6.523913669427446e-16	1.2006777285222853e-17	Std	LCOGT
56460.85	sdss_i'	3.56440444426608e-16	6.56760478454133e-18	Std	LCOGT
56460.85	sdss_z'	2.658241052255435e-16	1.0537540171248468e-17	Std	LCOGT
56461.0	Bessell_B	1.0804554242565006e-15	2.0890350584873543e-17	Std	LCOGT
56461.01	Bessell_V	8.99128884162895e-16	1.656290049773754e-17	Std	LCOGT
56461.01	sdss_g'	9.787658048861296e-16	1.8036644963403784e-17	Std	LCOGT
56461.02	sdss_r'	7.027087862016265e-16	1.2961073167718887e-17	Std	LCOGT
56461.03	sdss_i'	3.3975599809174547e-16	6.582772463027569e-18	Std	LCOGT
56461.06	Bessell_U	9.091997990743517e-16	5.033070316304447e-17	Std	LCOGT
56461.08	Bessell_R	6.333902029407141e-16	1.3409005360127883e-17	Std	LCOGT
56461.09	Bessell_I	3.007161559868799e-16	5.547191226942445e-18	Std	LCOGT
56461.09	sdss_z'	2.4810249821050727e-16	9.378819712573023e-18	Std	LCOGT
56461.17	sdss_i'	3.8677580139908526e-16	7.143976567018399e-18	Std	P60
56461.17	sdss_i'	3.8677580139908526e-16	7.143976567018399e-18	Std	P60
56461.17	sdss_r'	7.478209551923482e-16	1.3776562376397317e-17	Std	P60
56461.17	sdss_r'	7.478209551923482e-16	1.3776562376397317e-17	Std	P60
56461.23	sdss_r'	7.322052043878676e-16	2.7067301394433018e-17	Std	P60
56461.23	sdss_r'	7.322052043878676e-16	2.7067301394433018e-17	Std	P60
56461.27	sdss_r'	7.495560386150682e-16	2.758782642124904e-17	Std	P60
56461.27	sdss_r'	7.495560386150682e-16	2.758782642124904e-17	Std	P60
56461.3	sdss_i'	3.9739317633945234e-16	7.310821030367024e-18	Std	P60
56461.3	sdss_i'	3.9739317633945234e-16	7.310821030367024e-18	Std	P60
56461.31	sdss_r'	7.599665391513886e-16	1.3984772387123728e-17	Std	P60
56461.31	sdss_r'	7.599665391513886e-16	1.3984772387123728e-17	Std	P60
56461.34	sdss_i'	4.0497701558257163e-16	7.447330136743172e-18	Std	P60
56461.34	sdss_i'	4.0497701558257163e-16	7.447330136743172e-18	Std	P60
56461.34	sdss_g'	1.0556993616020699e-15	1.9447093503196022e-17	Std	P60
56461.34	sdss_g'	1.0556993616020699e-15	1.9447093503196022e-17	Std	P60
56461.7	Bessell_I	3.868435987209863e-16	1.7809403412815217e-17	Std	LCOGT
56461.7	sdss_z'	3.367105332856885e-16	2.0175367986348945e-17	Std	LCOGT
56462.03	Bessell_B	1.4977987211796125e-15	2.759102907436128e-17	Std	LCOGT
